gene	scaffold	gene_id	gene_description	category	header	subheader	module	auxiliary_score	amg_flags
T0_S__k141_421670__full-cat_1_12	T0_S__k141_421670__full-cat_1							1	MK
T0_S__k141_425731__full-cat_2_11	T0_S__k141_425731__full-cat_2							3	MKF
T0_S__k141_428992__full-cat_1_21	T0_S__k141_428992__full-cat_1							1	MK
T0_S__k141_432527__full-cat_1_70	T0_S__k141_432527__full-cat_1	K00525	ribonucleoside-diphosphate reductase [EC:1.17.4.1] [RN:R02024]	MISC	Information systems	Nucleotide	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	2	MKE
T0_S__k141_543027__full-cat_2_6	T0_S__k141_543027__full-cat_2							3	MKF
T0_S__k141_543027__full-cat_2_12	T0_S__k141_543027__full-cat_2							3	MK
T0_S__k141_544268__full-cat_2_4	T0_S__k141_544268__full-cat_2							3	MKF
T0_S__k141_544268__full-cat_2_13	T0_S__k141_544268__full-cat_2	K00525	ribonucleoside-diphosphate reductase [EC:1.17.4.1] [RN:R02024]	MISC	Information systems	Nucleotide	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	3	MKE
T0_S__k141_586292__full-cat_1_27	T0_S__k141_586292__full-cat_1	K00558	DNA (cytosine-5-)-methyltransferase [EC:2.1.1.37] [RN:R04858]	Organic Nitrogen	Amino Acid		Methionine degradation	1	M
T0_S__k141_586346__full-cat_2_8	T0_S__k141_586346__full-cat_2	K00525	ribonucleoside-diphosphate reductase [EC:1.17.4.1] [RN:R02024]	MISC	Information systems	Nucleotide	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	3	MKE
T0_S__k141_5926__full_1-cat_2_15	T0_S__k141_5926__full_1-cat_2							3	MKF
T0_S__k141_5926__full_1-cat_2_16	T0_S__k141_5926__full_1-cat_2							3	MKF
T0_S__k141_614732__full-cat_2_2	T0_S__k141_614732__full-cat_2							3	MKF
T0_S__k141_614929__full-cat_2_17	T0_S__k141_614929__full-cat_2	K00558	DNA (cytosine-5-)-methyltransferase [EC:2.1.1.37] [RN:R04858]	Organic Nitrogen	Amino Acid		Methionine degradation	3	M
T0_S__k141_641826__full-cat_1_29	T0_S__k141_641826__full-cat_1	K01784	GALE; UDP-Glc -> UDP-Gal [EC:5.1.3.2]	MISC	Information systems	Nucleotide	Nucleotide sugar biosynthesis, eukaryotes	2	MK
T0_S__k141_641826__full-cat_1_29	T0_S__k141_641826__full-cat_1	K01784	UDP-glucose 4-epimerase [EC:5.1.3.2] [RN:R00291]	carbon utilization	central carbon	glycolysis	Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	2	MK
T0_S__k141_641826__full-cat_1_29	T0_S__k141_641826__full-cat_1	K01784	UDP-glucose 4-epimerase	carbon utilization (Woodcroft)	sugar utilization (woodcroft)	galactose degradation	Galactose metabolism	2	MK
T0_S__k141_676074__full-cat_1_11	T0_S__k141_676074__full-cat_1	M17	Catlytic type: Metallo; any N-terminal amino acid can be released from dipeptides and polypeptides, although there is a preference for leucine; bonds with proline in P1 are not cleaved; maximally active between pH 9 and 9.5	Organic Nitrogen	Peptidase		Aminopeptidases	2	MF
T0_S__k141_71719__full-cat_1_2	T0_S__k141_71719__full-cat_1							2	MKF
T0_S__k141_71719__full-cat_1_7	T0_S__k141_71719__full-cat_1							2	MKF
T0_S__k141_71719__full-cat_1_12	T0_S__k141_71719__full-cat_1							2	MK
T0_S__k141_71719__full-cat_1_13	T0_S__k141_71719__full-cat_1							2	MK
T0_S__k141_758262__full-cat_1_12	T0_S__k141_758262__full-cat_1							2	MK
T0_S__k141_760093__full-cat_1_12	T0_S__k141_760093__full-cat_1	K00525	ribonucleoside-diphosphate reductase [EC:1.17.4.1] [RN:R02024]	MISC	Information systems	Nucleotide	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	1	MKE
T0_S__k141_760093__full-cat_1_20	T0_S__k141_760093__full-cat_1							1	MK
T0_S__k141_760093__full-cat_1_31	T0_S__k141_760093__full-cat_1							1	MK
T0_S__k141_809612__full-cat_1_2	T0_S__k141_809612__full-cat_1							2	MKF
T0_S__k141_809612__full-cat_1_4	T0_S__k141_809612__full-cat_1							2	MKF
T0_S__k141_810153__full-cat_2_7	T0_S__k141_810153__full-cat_2	K00525	ribonucleoside-diphosphate reductase [EC:1.17.4.1] [RN:R02024]	MISC	Information systems	Nucleotide	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	3	MKEF
T0_S__k141_823232__full-cat_2_6	T0_S__k141_823232__full-cat_2	K00525	ribonucleoside-diphosphate reductase [EC:1.17.4.1] [RN:R02024]	MISC	Information systems	Nucleotide	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	3	MKEF
T0_S__k141_823391__full-cat_1_4	T0_S__k141_823391__full-cat_1							2	MKF
T0_S__k141_823391__full-cat_1_22	T0_S__k141_823391__full-cat_1							2	MK
T0_S__k141_823391__full-cat_1_24	T0_S__k141_823391__full-cat_1							2	MK
T0_S__k141_823391__full-cat_1_25	T0_S__k141_823391__full-cat_1							2	MK
T0_S__k141_823391__full-cat_1_35	T0_S__k141_823391__full-cat_1	K01809	mannose-6-phosphate isomerase	carbon utilization (Woodcroft)	sugar utilization (woodcroft)	mannose degradation	Fructose and mannose metabolism	2	MKF
T0_S__k141_900355__full-cat_1_15	T0_S__k141_900355__full-cat_1							3	MKF
T0_S__k141_961944__full-cat_1_15	T0_S__k141_961944__full-cat_1							2	MK
T0_S__k141_961944__full-cat_1_17	T0_S__k141_961944__full-cat_1							2	MKF
T0_S__k141_961944__full-cat_1_19	T0_S__k141_961944__full-cat_1							2	MKF
T0_S__k141_963575__full-cat_1_11	T0_S__k141_963575__full-cat_1							2	MK
T100_D__k141_113099__full-cat_1_20	T100_D__k141_113099__full-cat_1							2	MKF
T100_D__k141_12450__0_partial_1-cat_1_16	T100_D__k141_12450__0_partial_1-cat_1							2	MK
T100_D__k141_12450__0_partial_1-cat_1_19	T100_D__k141_12450__0_partial_1-cat_1	K09882	cobS; cobaltochelatase CobS [EC:6.6.1.2]	MISC	aerobic corrin ring synthesis		Cobalamin biosynthesis, precorrin2 => cobinamide	2	M
T100_D__k141_125226__full-cat_2_22	T100_D__k141_125226__full-cat_2							3	MK
T100_D__k141_125226__full-cat_2_23	T100_D__k141_125226__full-cat_2							3	MK
T100_D__k141_128117__full-cat_1_25	T100_D__k141_128117__full-cat_1							1	MK
T100_D__k141_128117__full-cat_1_26	T100_D__k141_128117__full-cat_1							1	MK
T100_D__k141_135220__full-cat_1_29	T100_D__k141_135220__full-cat_1							2	MKF
T100_D__k141_135502__full-cat_1_9	T100_D__k141_135502__full-cat_1	K01494	dCTP deaminase [EC:3.5.4.13] [RN:R02325]	MISC	Information systems	Nucleotide	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	2	M
T100_D__k141_135833__full-cat_1_19	T100_D__k141_135833__full-cat_1							2	MKF
T100_D__k141_1774__full-cat_1_7	T100_D__k141_1774__full-cat_1							2	MK
T100_D__k141_1774__full-cat_1_9	T100_D__k141_1774__full-cat_1							2	MK
T100_D__k141_1774__full-cat_1_16	T100_D__k141_1774__full-cat_1							2	MK
T100_D__k141_1774__full-cat_1_19	T100_D__k141_1774__full-cat_1							2	MK
T100_D__k141_1774__full-cat_1_20	T100_D__k141_1774__full-cat_1							2	MK
T100_D__k141_182174__full-cat_1_4	T100_D__k141_182174__full-cat_1							1	MKF
T100_D__k141_182174__full-cat_1_5	T100_D__k141_182174__full-cat_1							1	MKF
T100_D__k141_184494__full-cat_2_4	T100_D__k141_184494__full-cat_2							3	MKF
T100_D__k141_184494__full-cat_2_5	T100_D__k141_184494__full-cat_2							3	MKF
T100_D__k141_184494__full-cat_2_13	T100_D__k141_184494__full-cat_2							3	MK
T100_D__k141_184494__full-cat_2_17	T100_D__k141_184494__full-cat_2							3	MK
T100_D__k141_184494__full-cat_2_18	T100_D__k141_184494__full-cat_2							3	MK
T100_D__k141_184494__full-cat_2_20	T100_D__k141_184494__full-cat_2	K01784	GALE; UDP-Glc -> UDP-Gal [EC:5.1.3.2]	MISC	Information systems	Nucleotide	Nucleotide sugar biosynthesis, eukaryotes	3	MK
T100_D__k141_184494__full-cat_2_20	T100_D__k141_184494__full-cat_2	K01784	UDP-glucose 4-epimerase [EC:5.1.3.2] [RN:R00291]	carbon utilization	central carbon	glycolysis	Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	3	MK
T100_D__k141_184494__full-cat_2_20	T100_D__k141_184494__full-cat_2	K01784	UDP-glucose 4-epimerase	carbon utilization (Woodcroft)	sugar utilization (woodcroft)	galactose degradation	Galactose metabolism	3	MK
T100_D__k141_184494__full-cat_2_21	T100_D__k141_184494__full-cat_2	K00012	UGDH; UDP-Glc -> UDP-GlcA [EC:1.1.1.22]	MISC	Information systems	Nucleotide	Nucleotide sugar biosynthesis, eukaryotes	3	MK
T100_D__k141_184494__full-cat_2_21	T100_D__k141_184494__full-cat_2	K00012	UDPglucose 6-dehydrogenase [EC:1.1.1.22] [RN:R00286]	MISC	MISC		Glucuronate pathway (uronate pathway)	3	MK
T100_D__k141_189055__full-cat_1_12	T100_D__k141_189055__full-cat_1							1	MK
T100_D__k141_189055__full-cat_1_15	T100_D__k141_189055__full-cat_1							1	MK
T100_D__k141_189055__full-cat_1_18	T100_D__k141_189055__full-cat_1							1	MK
T100_D__k141_190002__full-cat_2_35	T100_D__k141_190002__full-cat_2							3	MK
T100_D__k141_225242__full-cat_1_2	T100_D__k141_225242__full-cat_1							2	MKF
T100_D__k141_239299__full-cat_2_6	T100_D__k141_239299__full-cat_2							3	MKF
T100_D__k141_239299__full-cat_2_7	T100_D__k141_239299__full-cat_2							3	MK
T100_D__k141_239299__full-cat_2_32	T100_D__k141_239299__full-cat_2							3	MK
T100_D__k141_239299__full-cat_2_37	T100_D__k141_239299__full-cat_2	K01784	GALE; UDP-Glc -> UDP-Gal [EC:5.1.3.2]	MISC	Information systems	Nucleotide	Nucleotide sugar biosynthesis, eukaryotes	3	MK
T100_D__k141_239299__full-cat_2_37	T100_D__k141_239299__full-cat_2	K01784	UDP-glucose 4-epimerase [EC:5.1.3.2] [RN:R00291]	carbon utilization	central carbon	glycolysis	Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	3	MK
T100_D__k141_239299__full-cat_2_37	T100_D__k141_239299__full-cat_2	K01784	UDP-glucose 4-epimerase	carbon utilization (Woodcroft)	sugar utilization (woodcroft)	galactose degradation	Galactose metabolism	3	MK
T100_D__k141_239299__full-cat_2_40	T100_D__k141_239299__full-cat_2							3	MK
T100_D__k141_239299__full-cat_2_41	T100_D__k141_239299__full-cat_2							3	MK
T100_D__k141_239299__full-cat_2_45	T100_D__k141_239299__full-cat_2							3	MK
T100_D__k141_239299__full-cat_2_47	T100_D__k141_239299__full-cat_2							3	MK
T100_D__k141_239299__full-cat_2_64	T100_D__k141_239299__full-cat_2							3	MK
T100_D__k141_239299__full-cat_2_71	T100_D__k141_239299__full-cat_2							3	MK
T100_D__k141_239299__full-cat_2_72	T100_D__k141_239299__full-cat_2							3	MK
T100_D__k141_240888__full-cat_1_46	T100_D__k141_240888__full-cat_1							1	MKF
T100_D__k141_243518__full-cat_1_22	T100_D__k141_243518__full-cat_1							2	MKF
T100_D__k141_247494__full-cat_1_24	T100_D__k141_247494__full-cat_1							1	MK
T100_D__k141_251643__full-cat_1_16	T100_D__k141_251643__full-cat_1							1	MK
T100_D__k141_251643__full-cat_1_17	T100_D__k141_251643__full-cat_1							1	MK
T100_D__k141_254930__full-cat_1_17	T100_D__k141_254930__full-cat_1							2	MKE
T100_D__k141_256512__full-cat_2_7	T100_D__k141_256512__full-cat_2							3	MK
T100_D__k141_257330__full-cat_1_11	T100_D__k141_257330__full-cat_1							1	MK
T100_D__k141_258428__full-cat_1_6	T100_D__k141_258428__full-cat_1							2	MK
T100_D__k141_262608__full-cat_1_6	T100_D__k141_262608__full-cat_1	K00558	DNA (cytosine-5-)-methyltransferase [EC:2.1.1.37] [RN:R04858]	Organic Nitrogen	Amino Acid		Methionine degradation	2	MF
T100_D__k141_277889__full-cat_2_15	T100_D__k141_277889__full-cat_2							3	MKF
T100_D__k141_277889__full-cat_2_16	T100_D__k141_277889__full-cat_2							3	MKF
T100_D__k141_287428__full-cat_2_11	T100_D__k141_287428__full-cat_2							3	MK
T100_D__k141_305103__full-cat_2_7	T100_D__k141_305103__full-cat_2							3	MKF
T100_D__k141_305103__full-cat_2_17	T100_D__k141_305103__full-cat_2							3	MKF
T100_D__k141_322669__full-cat_1_6	T100_D__k141_322669__full-cat_1							2	MK
T100_D__k141_322669__full-cat_1_19	T100_D__k141_322669__full-cat_1							2	MKF
T100_D__k141_32785__full-cat_1_4	T100_D__k141_32785__full-cat_1	K00525	ribonucleoside-diphosphate reductase [EC:1.17.4.1] [RN:R02024]	MISC	Information systems	Nucleotide	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	2	MKEF
T100_D__k141_34914__full-cat_1_11	T100_D__k141_34914__full-cat_1							2	MK
T100_D__k141_34914__full-cat_1_16	T100_D__k141_34914__full-cat_1							2	MK
T100_D__k141_34914__full-cat_1_18	T100_D__k141_34914__full-cat_1							2	MK
T100_D__k141_349716__full-cat_1_29	T100_D__k141_349716__full-cat_1							2	MK
T100_D__k141_349716__full-cat_1_48	T100_D__k141_349716__full-cat_1							2	MK
T100_D__k141_356184__full-cat_1_29	T100_D__k141_356184__full-cat_1							2	MK
T100_D__k141_358089__full-cat_2_5	T100_D__k141_358089__full-cat_2							3	MKF
T100_D__k141_360064__full-cat_2_10	T100_D__k141_360064__full-cat_2							3	MKF
T100_D__k141_360064__full-cat_2_12	T100_D__k141_360064__full-cat_2							3	MKF
T100_D__k141_360064__full-cat_2_13	T100_D__k141_360064__full-cat_2							3	MKF
T100_D__k141_362269__full-cat_2_16	T100_D__k141_362269__full-cat_2	K00558	DNA (cytosine-5-)-methyltransferase [EC:2.1.1.37] [RN:R04858]	Organic Nitrogen	Amino Acid		Methionine degradation	3	M
T100_D__k141_362862__full-cat_1_34	T100_D__k141_362862__full-cat_1							2	MK
T100_D__k141_364043__full-cat_1_6	T100_D__k141_364043__full-cat_1							2	MKF
T100_D__k141_364043__full-cat_1_14	T100_D__k141_364043__full-cat_1							2	MK
T100_D__k141_364043__full-cat_1_20	T100_D__k141_364043__full-cat_1	M19	Catlytic type: Metallo; cleaves dipeptides and beta-lactams; cleaves dipeptides with D-amino acids in the P1 position; often membrane localized	Organic Nitrogen	Peptidase		Dipeptidases	2	M
T100_D__k141_364043__full-cat_1_26	T100_D__k141_364043__full-cat_1							2	MK
T100_D__k141_364043__full-cat_1_58	T100_D__k141_364043__full-cat_1	GT2	GT2 cellulose synthase (EC 2.4.1.12); chitin synthase (EC 2.4.1.16); dolichyl-phosphate beta-D-mannosyltransferase (EC 2.4.1.83); dolichyl-phosphate beta-glucosyltransferase (EC 2.4.1.117); N-acetylglucosaminyltransferase (EC 2.4.1.-); N-acetylgalactosaminyltransferase (EC 2.4.1.-); hyaluronan synthase (EC 2.4.1.212); chitin oligosaccharide synthase (EC 2.4.1.-); beta-1,3-glucan synthase (EC 2.4.1.34); beta-1,4-mannan synthase (EC 2.4.1.-); beta-mannosylphosphodecaprenol-mannooligosaccharide alpha-1,6-mannosyltransferase (EC 2.4.1.199); UDP-Galf: rhamnopyranosyl-N-acetylglucosaminyl-PP-decaprenol beta-1,4/1,5-galactofuranosyltransferase (EC 2.4.1.287); UDP-Galf: galactofuranosyl-galactofuranosyl-rhamnosyl-N-acetylglucosaminyl-PP-decaprenol beta-1,5/1,6-galactofuranosyltransferase (EC 2.4.1.288); dTDP-L-Rha: N-acetylglucosaminyl-PP-decaprenol alpha-1,3-L-rhamnosyltransferase (EC 2.4.1.289)	carbon utilization	CAZY		GlycosylTransferases	2	M
T100_D__k141_364043__full-cat_1_61	T100_D__k141_364043__full-cat_1	K01784	GALE; UDP-Glc -> UDP-Gal [EC:5.1.3.2]	MISC	Information systems	Nucleotide	Nucleotide sugar biosynthesis, eukaryotes	2	MK
T100_D__k141_364043__full-cat_1_61	T100_D__k141_364043__full-cat_1	K01784	UDP-glucose 4-epimerase [EC:5.1.3.2] [RN:R00291]	carbon utilization	central carbon	glycolysis	Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	2	MK
T100_D__k141_364043__full-cat_1_61	T100_D__k141_364043__full-cat_1	K01784	UDP-glucose 4-epimerase	carbon utilization (Woodcroft)	sugar utilization (woodcroft)	galactose degradation	Galactose metabolism	2	MK
T100_D__k141_364043__full-cat_1_72	T100_D__k141_364043__full-cat_1							2	MK
T100_D__k141_364043__full-cat_1_76	T100_D__k141_364043__full-cat_1							2	MK
T100_D__k141_364043__full-cat_1_77	T100_D__k141_364043__full-cat_1							2	MK
T100_D__k141_364043__full-cat_1_83	T100_D__k141_364043__full-cat_1							2	MK
T100_D__k141_364043__full-cat_1_84	T100_D__k141_364043__full-cat_1							2	MK
T100_D__k141_364508__full-cat_1_10	T100_D__k141_364508__full-cat_1							2	MKF
T100_D__k141_367966__full-cat_2_2	T100_D__k141_367966__full-cat_2							3	MKF
T100_D__k141_367966__full-cat_2_5	T100_D__k141_367966__full-cat_2							3	MKF
T100_D__k141_367966__full-cat_2_6	T100_D__k141_367966__full-cat_2							3	MKF
T100_D__k141_37183__full-cat_2_7	T100_D__k141_37183__full-cat_2	GT2	GT2 cellulose synthase (EC 2.4.1.12); chitin synthase (EC 2.4.1.16); dolichyl-phosphate beta-D-mannosyltransferase (EC 2.4.1.83); dolichyl-phosphate beta-glucosyltransferase (EC 2.4.1.117); N-acetylglucosaminyltransferase (EC 2.4.1.-); N-acetylgalactosaminyltransferase (EC 2.4.1.-); hyaluronan synthase (EC 2.4.1.212); chitin oligosaccharide synthase (EC 2.4.1.-); beta-1,3-glucan synthase (EC 2.4.1.34); beta-1,4-mannan synthase (EC 2.4.1.-); beta-mannosylphosphodecaprenol-mannooligosaccharide alpha-1,6-mannosyltransferase (EC 2.4.1.199); UDP-Galf: rhamnopyranosyl-N-acetylglucosaminyl-PP-decaprenol beta-1,4/1,5-galactofuranosyltransferase (EC 2.4.1.287); UDP-Galf: galactofuranosyl-galactofuranosyl-rhamnosyl-N-acetylglucosaminyl-PP-decaprenol beta-1,5/1,6-galactofuranosyltransferase (EC 2.4.1.288); dTDP-L-Rha: N-acetylglucosaminyl-PP-decaprenol alpha-1,3-L-rhamnosyltransferase (EC 2.4.1.289)	carbon utilization	CAZY		GlycosylTransferases	3	MF
T100_D__k141_37183__full-cat_2_16	T100_D__k141_37183__full-cat_2	K01784	GALE; UDP-Glc -> UDP-Gal [EC:5.1.3.2]	MISC	Information systems	Nucleotide	Nucleotide sugar biosynthesis, eukaryotes	3	MKF
T100_D__k141_37183__full-cat_2_16	T100_D__k141_37183__full-cat_2	K01784	UDP-glucose 4-epimerase [EC:5.1.3.2] [RN:R00291]	carbon utilization	central carbon	glycolysis	Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	3	MKF
T100_D__k141_37183__full-cat_2_16	T100_D__k141_37183__full-cat_2	K01784	UDP-glucose 4-epimerase	carbon utilization (Woodcroft)	sugar utilization (woodcroft)	galactose degradation	Galactose metabolism	3	MKF
T100_D__k141_37183__full-cat_2_19	T100_D__k141_37183__full-cat_2							3	MKF
T100_D__k141_396730__full-cat_2_25	T100_D__k141_396730__full-cat_2	K01784	GALE; UDP-Glc -> UDP-Gal [EC:5.1.3.2]	MISC	Information systems	Nucleotide	Nucleotide sugar biosynthesis, eukaryotes	3	MKF
T100_D__k141_396730__full-cat_2_25	T100_D__k141_396730__full-cat_2	K01784	UDP-glucose 4-epimerase [EC:5.1.3.2] [RN:R00291]	carbon utilization	central carbon	glycolysis	Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	3	MKF
T100_D__k141_396730__full-cat_2_25	T100_D__k141_396730__full-cat_2	K01784	UDP-glucose 4-epimerase	carbon utilization (Woodcroft)	sugar utilization (woodcroft)	galactose degradation	Galactose metabolism	3	MKF
T100_D__k141_396730__full-cat_2_27	T100_D__k141_396730__full-cat_2							3	MKF
T100_D__k141_396730__full-cat_2_30	T100_D__k141_396730__full-cat_2							3	MKF
T100_D__k141_425035__full-cat_2_2	T100_D__k141_425035__full-cat_2	K00602	phosphoribosylaminoimidazolecarboxamide formyltransferase / IMP cyclohydrolase [EC:2.1.2.3 3.5.4.10] [RN:R04560 R01127]	MISC	Information systems	Nucleotide	Inosine monophosphate biosynthesis, PRPP + glutamine => IMP	3	MKF
T100_D__k141_425035__full-cat_2_4	T100_D__k141_425035__full-cat_2							3	MKF
T100_D__k141_425035__full-cat_2_6	T100_D__k141_425035__full-cat_2							3	MKF
T100_D__k141_425035__full-cat_2_8	T100_D__k141_425035__full-cat_2							3	MKF
T100_D__k141_425035__full-cat_2_9	T100_D__k141_425035__full-cat_2							3	MKF
T100_D__k141_425035__full-cat_2_13	T100_D__k141_425035__full-cat_2	K11381	2-oxoisovalerate dehydrogenase [EC:1.2.4.4] [RN:R07601 R07602]	Organic Nitrogen	Amino Acid		Leucine degradation, leucine => acetoacetate + acetyl-CoA	3	MK
T100_D__k141_425035__full-cat_2_16	T100_D__k141_425035__full-cat_2							3	MK
T100_D__k141_425035__full-cat_2_22	T100_D__k141_425035__full-cat_2							3	MK
T100_D__k141_425035__full-cat_2_26	T100_D__k141_425035__full-cat_2	K00616	transaldolase [EC:2.2.1.2] [RN:R01827]	carbon utilization	central carbon	pentose pathway	Pentose phosphate pathway (Pentose phosphate cycle)	3	MKEF
T100_D__k141_425035__full-cat_2_26	T100_D__k141_425035__full-cat_2	K00616	transaldolase [EC:2.2.1.2] [RN:R01827]	carbon utilization	central carbon	pentose pathway	Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P	3	MKEF
T100_D__k141_425035__full-cat_2_34	T100_D__k141_425035__full-cat_2	K00526	ribonucleoside-diphosphate reductase [EC:1.17.4.1] [RN:R02024]	MISC	Information systems	Nucleotide	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	3	MKEF
T100_D__k141_430476__full-cat_2_9	T100_D__k141_430476__full-cat_2							3	MK
T100_D__k141_430476__full-cat_2_10	T100_D__k141_430476__full-cat_2	GT2	GT2 cellulose synthase (EC 2.4.1.12); chitin synthase (EC 2.4.1.16); dolichyl-phosphate beta-D-mannosyltransferase (EC 2.4.1.83); dolichyl-phosphate beta-glucosyltransferase (EC 2.4.1.117); N-acetylglucosaminyltransferase (EC 2.4.1.-); N-acetylgalactosaminyltransferase (EC 2.4.1.-); hyaluronan synthase (EC 2.4.1.212); chitin oligosaccharide synthase (EC 2.4.1.-); beta-1,3-glucan synthase (EC 2.4.1.34); beta-1,4-mannan synthase (EC 2.4.1.-); beta-mannosylphosphodecaprenol-mannooligosaccharide alpha-1,6-mannosyltransferase (EC 2.4.1.199); UDP-Galf: rhamnopyranosyl-N-acetylglucosaminyl-PP-decaprenol beta-1,4/1,5-galactofuranosyltransferase (EC 2.4.1.287); UDP-Galf: galactofuranosyl-galactofuranosyl-rhamnosyl-N-acetylglucosaminyl-PP-decaprenol beta-1,5/1,6-galactofuranosyltransferase (EC 2.4.1.288); dTDP-L-Rha: N-acetylglucosaminyl-PP-decaprenol alpha-1,3-L-rhamnosyltransferase (EC 2.4.1.289)	carbon utilization	CAZY		GlycosylTransferases	3	M
T100_D__k141_430476__full-cat_2_12	T100_D__k141_430476__full-cat_2							3	MK
T100_D__k141_430476__full-cat_2_13	T100_D__k141_430476__full-cat_2							3	MK
T100_D__k141_430476__full-cat_2_18	T100_D__k141_430476__full-cat_2							3	MKF
T100_D__k141_436381__full-cat_1_27	T100_D__k141_436381__full-cat_1	K00558	DNA (cytosine-5-)-methyltransferase [EC:2.1.1.37] [RN:R04858]	Organic Nitrogen	Amino Acid		Methionine degradation	1	M
T100_D__k141_437490__full-cat_1_9	T100_D__k141_437490__full-cat_1							2	MKF
T100_D__k141_437490__full-cat_1_32	T100_D__k141_437490__full-cat_1							2	MKF
T100_D__k141_444951__full-cat_2_2	T100_D__k141_444951__full-cat_2							3	MKF
